Target Audience,Mode,Location,TOPIC,Trainer,month list ,Invited,Attended
S2 S3 S4 Consultants,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,1323,140
Sr exec and below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,2203,198
Ams &  S1 Consultants,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,June,3245,234
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,Sept,6047,335
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Dec,5887,127
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Noopur Singh,Jan,6115,128
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Feb,5459,943
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Gurleen Baruah,Mar,5120,195
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,May,5585,849
AMs and Below,VC,Zoom,Empower your voice: Assertive communication essentials​,Vishakha Makhija,Jun,4780,748
AMs,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,May,1194,103
S1 Consultants ,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,May,2052,114
Sr exec and below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Shraiya Jain,June,3522,188
S2 S3 S4 Consultants,,,0,,Sept,,
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Shraiya Jain,Dec,6045,135
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Noopur Singh,Feb,6325,234
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,Mar,6439,134
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,Apr,6510,785
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,May,5659,819
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Deepti Seth,Jun,5215,932
AMs and Below,VC,Zoom,From stress to smiles: Nurturing happy hormones,Gurleen Baruah,July,4245,709
"AMs,  S1 Consultants ",VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Aug,3153,194
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Sept,6338,363
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Nov,6034,195
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Dec,6025,139
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Jan,6175,100
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Mar,5847,57
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Apr,5826,918
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,May,4921,993
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,Jun,4826,722
AMs and Below,VC,Zoom,FeelCraft: Emotional mastery,Shraiya Jain,July,3885,766
"S2 S3 S4 Consultants, Sr exec and below",VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,Aug,3453,290
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Oct,6125,446
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Nov,6390,109
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Dec,6236,129
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Noopur Singh,Feb,5771,68
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Vishakha Makhija,Mar,5545,779
AMs and Below,VC,Zoom,Navigating differences: Strategies for effective conflict resolution,Gurleen Baruah,Apr,5470,575
